lat,lon,mag,depth
2.384199999999999875e+01,1.208289999999999935e+02,6.000000000000000000e+00,9.000000000000000000e+00
2.380099999999999838e+01,1.211899999999999977e+02,6.000000000000000000e+00,5.150000000000000000e+01
2.435699999999999932e+01,1.218420000000000130e+02,4.700000000000000178e+00,3.300000000000000000e+01
2.359099999999999753e+01,1.212720000000000056e+02,6.099999999999999645e+00,3.300000000000000000e+01
2.380900000000000105e+01,1.212129999999999939e+02,6.099999999999999645e+00,5.389999999999999858e+01
2.377100000000000080e+01,1.212160000000000082e+02,6.000000000000000000e+00,5.739999999999999858e+01
2.363400000000000034e+01,1.209989999999999952e+02,4.400000000000000355e+00,1.650000000000000000e+01
2.371199999999999974e+01,1.213010000000000019e+02,4.500000000000000000e+00,4.560000000000000142e+01
2.383900000000000219e+01,1.212760000000000105e+02,4.599999999999999645e+00,6.459999999999999432e+01
2.392500000000000071e+01,1.213100000000000023e+02,4.200000000000000178e+00,6.000000000000000000e+01
2.431400000000000006e+01,1.212960000000000065e+02,4.000000000000000000e+00,4.370000000000000284e+01
2.387800000000000011e+01,1.215139999999999958e+02,4.299999999999999822e+00,5.820000000000000284e+01
2.381199999999999761e+01,1.209089999999999918e+02,4.299999999999999822e+00,1.710000000000000142e+01
2.432099999999999795e+01,1.208750000000000000e+02,4.099999999999999645e+00,3.300000000000000000e+01
2.355099999999999838e+01,1.205559999999999974e+02,4.200000000000000178e+00,5.610000000000000142e+01
2.384499999999999886e+01,1.212399999999999949e+02,4.299999999999999822e+00,6.129999999999999716e+01
2.382199999999999918e+01,1.208990000000000009e+02,4.099999999999999645e+00,1.000000000000000000e+01
2.407699999999999818e+01,1.210610000000000070e+02,4.200000000000000178e+00,6.799999999999999822e+00
2.382099999999999795e+01,1.209120000000000061e+02,4.299999999999999822e+00,2.180000000000000071e+01
2.386499999999999844e+01,1.214770000000000039e+02,4.299999999999999822e+00,6.779999999999999716e+01
2.396300000000000097e+01,1.210090000000000003e+02,4.400000000000000355e+00,3.429999999999999716e+01
2.400199999999999889e+01,1.210320000000000107e+02,3.799999999999999822e+00,3.300000000000000000e+01
2.401599999999999824e+01,1.209470000000000027e+02,4.599999999999999645e+00,6.279999999999999716e+01
2.403300000000000125e+01,1.209989999999999952e+02,4.200000000000000178e+00,3.300000000000000000e+01
2.420400000000000063e+01,1.219129999999999967e+02,4.000000000000000000e+00,3.300000000000000000e+01
2.385800000000000054e+01,1.210090000000000003e+02,4.000000000000000000e+00,4.339999999999999858e+01
2.370400000000000063e+01,1.214789999999999992e+02,4.099999999999999645e+00,7.299999999999999822e+00
