MAS,Ref
1.366444968818370187e+00,inf
-3.931308857374201660e-01,2.097121299432263830e-01
-9.735251587487996350e-01,1.327640683579434100e-01
-7.329165688519402311e-01,9.009552126456812915e-02
-5.225941466127451696e-01,7.393023989304886578e-02
-1.740093780787726474e-01,5.739397839912011023e-02
-5.139141097399543834e-02,4.991773237324994422e-02
4.052437451892947073e-02,4.176181069542804492e-02
1.159725804578820296e-01,3.771731307042346104e-02
1.068528582427521051e-01,3.319194357351972630e-02
1.426929781362588912e-01,3.018819479684069565e-02
1.320644360262333838e-01,2.739192109682613008e-02
1.362153659364822300e-01,2.530704557257886303e-02
1.274630225102900138e-01,2.330615243564118297e-02
1.210158544776015616e-01,2.184799558118301344e-02
1.138929680759930979e-01,2.027580532705660146e-02
1.067372556290863000e-01,1.914836049608129726e-02
9.259334861325529964e-02,1.797117365080320647e-02
9.111975233017968745e-02,1.708423739758763854e-02
8.360737474049481643e-02,1.615990860239366333e-02
7.722027379149262738e-02,1.537307057146088639e-02
7.230618631626592463e-02,1.463418899108498254e-02
6.539388506547826052e-02,1.402132369688270999e-02
6.374393823863873376e-02,1.339597394790085182e-02
5.667975638863659987e-02,1.287691285369488639e-02
5.443597295203467246e-02,1.233366102696157630e-02
4.973150643268939991e-02,1.188768646763182883e-02
4.719507616256790605e-02,1.143774742147557304e-02
4.359194846756372227e-02,1.105235116137080927e-02
4.204305097601548913e-02,1.066297927923572433e-02
3.806617667962411411e-02,1.032388666127757870e-02
3.751788906860629297e-02,9.984738073668418534e-03
3.367718825516403253e-02,9.683854572528436538e-03
3.286346474229206310e-02,9.381505341448567389e-03
3.036941454172170651e-02,9.127721434109125481e-03
2.940756109962820372e-02,8.853967432288381220e-03
2.724848409647748909e-02,8.624809028664899221e-03
2.647723009403776459e-02,8.386633855236318505e-03
2.456100055859979439e-02,8.174637743344191979e-03
2.430280012906302356e-02,7.965088389643765546e-03
6.628757717758123613e-01,inf
7.761595918368473512e-01,1.732495221744700109e-01
8.273020807848742442e-02,1.380279261064117635e-01
2.023889223699412432e-01,9.095599914159675781e-02
3.777589320710654786e-01,7.035403636665991944e-02
6.280772481258125595e-01,5.566569520488643535e-02
5.546292970716811821e-01,4.752479357547246402e-02
5.744441831718423153e-01,4.156221731362952365e-02
5.032398753046996021e-01,3.691025292072644404e-02
4.604868494058709238e-01,3.337222777591102724e-02
4.045154504635706250e-01,3.005237468816657209e-02
3.519614915334051131e-01,2.722668206354618772e-02
3.118622539403771432e-01,2.534562844951173885e-02
2.748557572550102135e-01,2.338460921564672335e-02
2.380831431620903105e-01,2.161608165944424800e-02
2.132927804843899044e-01,2.025724055592621753e-02
1.895230750166968514e-01,1.907305704641960864e-02
1.660133896252843633e-01,1.794526866755840819e-02
1.508255082476774311e-01,1.696254357663868131e-02
1.350869212164766131e-01,1.615169730480964239e-02
1.225801371091131409e-01,1.535631431821633981e-02
1.104145261546032458e-01,1.460408847381656529e-02
1.006088542606836111e-01,1.396737305288370777e-02
9.167003090353335881e-02,1.335247935029261306e-02
8.404071390471204439e-02,1.282195555741242644e-02
7.724262032336050299e-02,1.234171397111434587e-02
7.121172888973115178e-02,1.185918971889582917e-02
6.541827631124093323e-02,1.141422074024966982e-02
6.077571829189453573e-02,1.102595691732008096e-02
5.646882121221023093e-02,1.064520043677982288e-02
5.248808023202177625e-02,1.029999771699460082e-02
4.899368730506709763e-02,9.977180364658470510e-03
4.578971155484068412e-02,9.673605662022162835e-03
4.298377267062749446e-02,9.384726849092771273e-03
4.023889070786186573e-02,9.108575933989998888e-03
3.780226307962796656e-02,8.851016945281184670e-03
3.552412257451263711e-02,8.599892741236878774e-03
3.356221746600564215e-02,8.371524527341772659e-03
3.173104375432360402e-02,8.163993324920564010e-03
3.002560378811374581e-02,7.960188675906787123e-03
1.097986171732921790e+00,inf
1.839060569710409432e+00,2.208931407724490648e-01
9.444081703040160258e-01,1.336894061862488325e-01
9.895531650432485282e-01,8.914712941091131049e-02
1.196810081362168487e+00,6.796721749124406964e-02
1.126547654834798351e+00,5.810032699630331143e-02
1.014836383561643185e+00,4.845524426706448312e-02
8.461048789263936332e-01,4.213679012450499001e-02
6.852875898385845099e-01,3.672720423574171722e-02
5.593534650423340748e-01,3.275915044913862983e-02
