Stress,Ref
7.256797823111370782e+00,7.363104692414970120e-01
4.568119238538864479e+00,2.097121299432263830e-01
2.223614665665282875e+00,1.332649598336179131e-01
6.008721470830070688e-01,9.063284956988654217e-02
1.450569912550150609e-01,7.424632931809813097e-02
5.440338595441022301e-02,5.785612218108313054e-02
6.095869650807041185e-02,5.024639149505319424e-02
8.865306903999743693e-02,4.204257614814019273e-02
1.409072763500089087e-01,3.801741769412490118e-02
1.204067800936903937e-01,3.338068870801228633e-02
1.499485667739552386e-01,3.041722149625276927e-02
1.363242910774708494e-01,2.757649629924592213e-02
1.387556370553653939e-01,2.549144302344045349e-02
1.290148138159965263e-01,2.348185126175176413e-02
1.220268005706427045e-01,2.200205575786497170e-02
1.145320855632947499e-01,2.043952419692556671e-02
1.071681445156864587e-01,1.929415945250258224e-02
9.290672234896446557e-02,1.808496508098816208e-02
9.132680283413040223e-02,1.721101907992271182e-02
8.375435867261031564e-02,1.628147165177751959e-02
7.732621610530168721e-02,1.548116956139054465e-02
7.238280678369519994e-02,1.474610222730641379e-02
6.545301646008502838e-02,1.410994133734329477e-02
6.378586738495387043e-02,1.350414106439315823e-02
5.671377393231555319e-02,1.295688317004670999e-02
5.446069457603946312e-02,1.242382008092080166e-02
4.975156416325687836e-02,1.196255641239950956e-02
4.720996828724514927e-02,1.151616333127044797e-02
4.360443763186837990e-02,1.112021670553099001e-02
4.205281515408571674e-02,1.073776504152853910e-02
3.807421733432282684e-02,1.038249321370854870e-02
3.752410400400570806e-02,1.005513166677134140e-02
3.368244401202272892e-02,9.736119992572069351e-03
3.286771903334091693e-02,9.441578391137519025e-03
3.037308816457054764e-02,9.178227431710527309e-03
2.941052880269322267e-02,8.908597430476129439e-03
2.725104490048181616e-02,8.671438010984989023e-03
2.647923916974668709e-02,8.436752361058954056e-03
2.456287284201158841e-02,8.217636422515878572e-03
2.430420455836524926e-02,8.013714002448739035e-03
1.015323049719409809e+01,9.817472923219974223e-01
3.716895248731079793e+00,1.840776173103743918e-01
2.410590482794865430e+00,1.442938480665246770e-01
9.818700107335369687e-01,9.611048434672324337e-02
6.670936035804503339e-01,7.424632931809811709e-02
7.024406785300344458e-01,5.949938682938072515e-02
5.901652531878275321e-01,5.019038623693510004e-02
5.896647724431628435e-01,4.422504519998068234e-02
5.110470803972770870e-01,3.900019533814653994e-02
4.654038325447364399e-01,3.530334123802326279e-02
4.078778456900196692e-01,3.176333953535358245e-02
3.540645281081895024e-01,2.869477781399866478e-02
3.134821369727083806e-01,2.665679313206778880e-02
2.760684605978509509e-01,2.456823282457981303e-02
2.389847144255394240e-01,2.264952677323540248e-02
2.140262438864836692e-01,2.122361597651007889e-02
1.900155194585256002e-01,1.990622356733081147e-02
1.663924474219409255e-01,1.867324574378359872e-02
1.511443705643427948e-01,1.765897962020348405e-02
1.353228970959137467e-01,1.676168612154512946e-02
1.227885830967150732e-01,1.594001819762846245e-02
1.105662895597868400e-01,1.511796258619352296e-02
1.007410059831631427e-01,1.445254506539583872e-02
9.178538621038116740e-02,1.381291568975292344e-02
8.412750445596704763e-02,1.323382032688940474e-02
7.731532067385149531e-02,1.272438077252571915e-02
7.127503522763108113e-02,1.222375838390228966e-02
6.547127248452092041e-02,1.175107387821003845e-02
6.082078575197259751e-02,1.134464155507538229e-02
5.650567228169497275e-02,1.093924494694571356e-02
5.252024512355231434e-02,1.057949484011354128e-02
4.902269285955199868e-02,1.024508367835112559e-02
4.581307858414398332e-02,9.918452686548067873e-03
4.300432800456048532e-02,9.618242434406322483e-03
4.025622432255541311e-02,9.327367345407582347e-03
3.781765771866925363e-02,9.061162149058598139e-03
3.553744079465574052e-02,8.799187269749332227e-03
3.357384503549908777e-02,8.558964945709072319e-03
3.174130009482018649e-02,8.342536258388483575e-03
3.003501280249243691e-02,8.132637873200286235e-03
6.846631985606684623e+00,6.135920577012482502e-01
4.510711565620334262e+00,2.556633573755197619e-01
2.216089981731005132e+00,1.563523465549845060e-01
1.365024380486380640e+00,1.049383101151498826e-01
1.311608246621610352e+00,8.068989109208477006e-02
1.194600740893071888e+00,6.783169148553552796e-02
1.065094131199804117e+00,5.661062958802794143e-02
8.855500826357596278e-01,4.863696977835418184e-02
7.156620165778283527e-01,4.202894875851879986e-02
5.815577662711922668e-01,3.717539576534862472e-02
4.871446263332069870e-01,3.398212469206417230e-02
3.964986880114562684e-01,3.057482029441643129e-02
