MAS,Ref
-5.131909722222222602e-03,2.630656315082332500e-03
-5.421111111111111790e-03,2.769060835683605920e-03
-5.638909722222221373e-03,2.914319561326169858e-03
-5.750159722222222478e-03,3.066231194379274820e-03
-5.711951388888888807e-03,3.224420291084508471e-03
-5.473680555555555417e-03,3.388299827631888802e-03
-4.978597222222223666e-03,3.557031873072303250e-03
-4.166861111111111633e-03,3.729488658409785447e-03
-2.981078472222222116e-03,3.904217396235270046e-03
-1.374597638888888813e-03,4.079413364176313721e-03
6.769418055555554434e-04,4.252906854343731051e-03
3.161793055555555797e-03,4.422170351365401625e-03
6.017076388888888648e-03,4.584352388396869225e-03
9.115624999999998729e-03,4.736343558303693704e-03
1.225902777777777841e-02,4.874877797272987763e-03
1.518124305555555893e-02,4.996668182387001451e-03
1.756712499999999941e-02,5.098571325564805676e-03
1.908750000000000030e-02,5.177768707468450270e-03
1.944752777777778233e-02,5.231948130431087092e-03
1.844023611111111211e-02,5.259465267507464591e-03
1.599297916666666750e-02,5.259465267507464591e-03
1.219385416666666881e-02,5.231948130431087092e-03
7.289027777777777953e-03,5.177768707468450270e-03
1.649439361111111006e-03,5.098571325564805676e-03
-4.285277083333332952e-03,4.996668182387000584e-03
-1.007229166666666689e-02,4.874877797272988630e-03
-1.532526388888888827e-02,4.736343558303692837e-03
-1.975622222222222363e-02,4.584352388396870093e-03
-2.319446527777777045e-02,4.422170351365401625e-03
-2.558332638888888289e-02,4.252906854343731051e-03
-2.696224305555555700e-02,4.079413364176312853e-03
-2.743840277777777684e-02,3.904217396235270480e-03
-2.716000000000000011e-02,3.729488658409785447e-03
-2.628956944444444180e-02,3.557031873072304118e-03
-2.498582638888888555e-02,3.388299827631889236e-03
-2.339346527777778212e-02,3.224420291084508037e-03
-2.163364583333332938e-02,3.066231194379273519e-03
-1.980342361111110672e-02,2.914319561326170725e-03
-1.797662500000000302e-02,2.769060835683605486e-03
-1.637809166666666372e-02,2.644058624822660537e-03
-5.611930555555555769e-03,2.769060835683605920e-03
-6.028611111111110456e-03,2.922837655852199984e-03
-6.389791666666666016e-03,3.085150793893393344e-03
-6.657368055555555261e-03,3.255915664213661787e-03
-6.782555555555553825e-03,3.434853159664376203e-03
-6.705152777777776893e-03,3.621439880994870974e-03
-6.354131944444444367e-03,3.814853548619013927e-03
-5.650041666666666927e-03,4.013916032314862777e-03
-4.510444444444445394e-03,4.217037989381481992e-03
-2.859439583333333104e-03,4.422170949645662028e-03
-6.419974097222224578e-04,4.626774638334408066e-03
2.157367500000000049e-03,4.827809029248267617e-03
5.492062499999999549e-03,5.021761528701534395e-03
9.231493055555557020e-03,5.204719117802709440e-03
1.314507638888888844e-02,5.372492529993202516e-03
1.690007638888888983e-02,5.520794153642426781e-03
2.008125000000000188e-02,5.645463429497589274e-03
2.223613888888888862e-02,5.742724015803460369e-03
2.294425694444444594e-02,5.809447807169404801e-03
2.189755555555555899e-02,5.843394531912084709e-03
1.897461805555555533e-02,5.843394531912083842e-03
1.428398611111111188e-02,5.809447807169406536e-03
8.162597222222225599e-03,5.742724015803460369e-03
1.125741388888889171e-03,5.645463429497591008e-03
-6.219536111111111966e-03,5.520794153642425046e-03
-1.327359722222222309e-02,5.372492529993202516e-03
-1.953141666666666568e-02,5.204719117802710307e-03
-2.463913888888889098e-02,5.021761528701534395e-03
-2.841361111111110824e-02,4.827809029248267617e-03
-3.082916666666666097e-02,4.626774638334406331e-03
-3.198381944444444319e-02,4.422170949645662028e-03
-3.205527777777777282e-02,4.217037989381481125e-03
-3.126138888888888717e-02,4.013916032314862777e-03
-2.982465277777777632e-02,3.814853548619013927e-03
-2.795118055555555203e-02,3.621439880994871841e-03
-2.581806249999999900e-02,3.434853159664375769e-03
-2.356693749999999588e-02,3.255915664213660920e-03
-2.130556249999999638e-02,3.085150793893394212e-03
-1.911060416666666636e-02,2.922837655852199984e-03
-1.723201666666666562e-02,2.783899517917284416e-03
-6.056486111111110578e-03,2.914319561326170725e-03
-6.616486111111111179e-03,3.085150793893394212e-03
-7.144597222222222321e-03,3.266551297779088196e-03
-7.601284722222221950e-03,3.458612858844669225e-03
-7.933291666666670086e-03,3.661216590207741744e-03
-8.071576388888890286e-03,3.873968165684024429e-03
-7.930250000000001534e-03,4.096123712924321265e-03
-7.407583333333332860e-03,4.326508573458300554e-03
-6.390486111111110673e-03,4.563433297334409250e-03
-4.764479166666667730e-03,4.804614046379896038e-03
-2.430266736111111672e-03,5.047107867544409904e-03
6.715171527777780060e-04,5.287276627517197534e-03
4.528329861111111444e-03,5.520795973730204323e-03
9.020361111111109206e-03,5.742726340660319478e-03
1.388960416666666815e-02,5.947660379991573376e-03
1.872574999999999934e-02,6.129954068912052238e-03
2.298233333333333031e-02,6.284036762502170567e-03
2.603394444444444289e-02,6.404779722891703296e-03
2.727427777777777576e-02,6.487886193805349373e-03
2.623966666666666808e-02,6.530253469536459812e-03
2.272710416666666455e-02,6.530253469536460680e-03
1.686950694444444565e-02,6.487886193805349373e-03
9.135847222222218816e-03,6.404779722891703296e-03
2.544823611111111136e-04,6.284036762502169700e-03
-8.923083333333329745e-03,6.129954068912052238e-03
-1.757552083333333015e-02,5.947660379991571641e-03
-2.504035416666667083e-02,5.742726340660319478e-03
-3.088944444444443813e-02,5.520795973730204323e-03
-3.494361111111111279e-02,5.287276627517198402e-03
-3.724111111111110678e-02,5.047107867544410771e-03
-3.797486111111111895e-02,4.804614046379896038e-03
-3.742652777777777384e-02,4.563433297334409250e-03
-3.590895833333333093e-02,4.326508573458301421e-03
-3.372173611111110164e-02,4.096123712924320398e-03
-3.112555555555556255e-02,3.873968165684024429e-03
-2.833208333333333759e-02,3.661216590207743045e-03
-2.550172916666666734e-02,3.458612858844669225e-03
-2.274813888888889066e-02,3.266551297779088630e-03
-2.014585416666666434e-02,3.085150793893392911e-03
-1.796633333333332722e-02,2.930743103151219747e-03
-6.439249999999998794e-03,3.066231194379274386e-03
-7.155444444444445176e-03,3.255915664213660920e-03
-7.872013888888890198e-03,3.458612858844669225e-03
-8.550520833333331849e-03,3.674670383201620281e-03
-9.135881944444443001e-03,3.904217869254828898e-03
-9.552270833333334488e-03,4.147084763491208290e-03
-9.699888888888888103e-03,4.402702105045729584e-03
-9.453472222222222485e-03,4.669989553750863130e-03
-8.664263888888888016e-03,4.947231743197309968e-03
-7.168902777777776646e-03,5.231952071048961636e-03
-4.807052777777777106e-03,5.520797271978266328e-03
-1.452285798611111477e-03,5.809452117488900225e-03
2.944308194444444568e-03,6.092609289931723293e-03
8.299666666666665263e-03,6.364023035316473606e-03
1.434375000000000060e-02,6.616674061173371396e-03
2.058215277777777907e-02,6.843064610021024410e-03
2.629985416666667103e-02,7.035644985288879751e-03
3.062777777777777113e-02,7.187346830417882734e-03
3.268270833333333791e-02,7.292168743077648806e-03
3.175694444444443487e-02,7.345734656041923508e-03
2.751052083333333301e-02,7.345734656041923508e-03
2.010280555555555085e-02,7.292168743077646204e-03
1.019874305555555638e-02,7.187346830417881000e-03
-1.151920138888888742e-03,7.035644985288881485e-03
-1.273429166666666286e-02,6.843064610021024410e-03
-2.341020138888889185e-02,6.616674061173371396e-03
-3.230981250000000693e-02,6.364023035316474473e-03
-3.892972222222221279e-02,6.092609289931723293e-03
-4.313104166666666822e-02,5.809452117488901959e-03
-4.506944444444445363e-02,5.520797271978264593e-03
-4.509013888888888100e-02,5.231952071048961636e-03
-4.362458333333332078e-02,4.947231743197310835e-03
-4.111249999999999627e-02,4.669989553750863998e-03
-3.794645833333333551e-02,4.402702105045729584e-03
-3.444902777777777980e-02,4.147084763491207422e-03
-3.086416666666666475e-02,3.904217869254828898e-03
-2.736446527777777749e-02,3.674670383201619848e-03
-2.406140277777778225e-02,3.458612858844669225e-03
-2.102027777777778009e-02,3.255915664213661787e-03
-1.852698333333333003e-02,3.084396720541095205e-03
-6.728847222222222001e-03,3.224420291084507170e-03
-7.608805555555555288e-03,3.434853159664375769e-03
-8.530694444444444913e-03,3.661216590207741744e-03
-9.460708333333331388e-03,3.904217869254829765e-03
-1.034584722222221982e-02,4.164354743044975694e-03
-1.110766666666667020e-02,4.441814194694332363e-03
-1.163588888888889006e-02,4.736345836246619138e-03
-1.178284027777777750e-02,5.047108985270822197e-03
-1.136128472222222574e-02,5.372495834734905031e-03
-1.014913194444444500e-02,5.709938542749516677e-03
-7.905888888888887647e-03,6.055715914333389092e-03
-4.407295138888889414e-03,6.404785458318271001e-03
4.975150000000001316e-04,6.750677818706857583e-03
6.806440277777778616e-03,7.085500225181048939e-03
1.427212499999999835e-02,7.400099249344369197e-03
2.232221527777777589e-02,7.684425150048357356e-03
3.003179166666666497e-02,7.928115451992311102e-03
3.619097222222222854e-02,8.121273000743139958e-03
3.949868055555556118e-02,8.255359796999279381e-03
3.885784722222222765e-02,8.324077354974604437e-03
3.369604166666666928e-02,8.324077354974604437e-03
2.419468749999999224e-02,8.255359796999279381e-03
1.131766666666666858e-02,8.121273000743138223e-03
-3.389492361111110658e-03,7.928115451992309368e-03
-1.816120138888888819e-02,7.684425150048357356e-03
-3.140207638888889430e-02,7.400099249344370932e-03
-4.197451388888889107e-02,7.085500225181047204e-03
-4.931722222222222063e-02,6.750677818706856716e-03
-5.340395833333334841e-02,6.404785458318271001e-03
-5.459791666666666266e-02,6.055715914333387358e-03
-5.347958333333332342e-02,5.709938542749516677e-03
-5.069236111111111859e-02,5.372495834734905031e-03
-4.683958333333333030e-02,5.047108985270822197e-03
-4.242201388888888064e-02,4.736345836246619138e-03
-3.782236111111110521e-02,4.441814194694333230e-03
-3.330937500000000218e-02,4.164354743044975694e-03
-2.905534722222221852e-02,3.904217869254828898e-03
-2.515731249999999392e-02,3.661216590207742178e-03
-2.165902777777777358e-02,3.434853159664375769e-03
-1.885141666666666216e-02,3.244491406692982197e-03
-6.889451388888885933e-03,3.388299827631890103e-03
-7.932840277777779975e-03,3.621439880994872275e-03
-9.068750000000000422e-03,3.873968165684024429e-03
-1.027252083333333316e-02,4.147084763491207422e-03
-1.149892361111110907e-02,4.441814194694330628e-03
-1.267346527777777482e-02,4.758885645189581473e-03
-1.368206249999999805e-02,5.098575323506279212e-03
-1.436027083333333426e-02,5.460505864392090937e-03
-1.448377083333333461e-02,5.843401040523341430e-03
-1.376524305555555314e-02,6.244800599654338341e-03
-1.186441666666666721e-02,6.660750947255220447e-03
-8.421999999999998932e-03,7.085503325932687897e-03
-3.128014446527778002e-03,7.511271438565258682e-03
4.167677083333333130e-03,7.928121859570912491e-03
1.330861805555555617e-02,8.324086024976922946e-03
2.367919444444444715e-02,8.685581139210142923e-03
3.410874999999999324e-02,8.998196650284029721e-03
4.291597222222222341e-02,9.247835525132423046e-03
4.816506944444444438e-02,9.422101498498628228e-03
4.812659722222221992e-02,9.511720716977598369e-03
4.182236111111111571e-02,9.511720716977600104e-03
2.944174305555555607e-02,9.422101498498628228e-03
1.241252916666667032e-02,9.247835525132424780e-03
-6.933273541666667462e-03,8.998196650284027986e-03
-2.597852777777777747e-02,8.685581139210144658e-03
-4.246256944444444514e-02,8.324086024976922946e-03
-5.491597222222222713e-02,7.928121859570914226e-03
-6.278118055555556576e-02,7.511271438565256947e-03
-6.627812500000002105e-02,7.085503325932686162e-03
-6.612541666666667262e-02,6.660750947255222182e-03
-6.326013888888890047e-02,6.244800599654338341e-03
-5.861500000000001431e-02,5.843401040523343165e-03
-5.299194444444445956e-02,5.460505864392092672e-03
-4.700798611111110803e-02,5.098575323506280080e-03
-4.109374999999999833e-02,4.758885645189580606e-03
-3.552291666666665404e-02,4.441814194694331495e-03
-3.044631944444445293e-02,4.147084763491208290e-03
-2.592822916666666366e-02,3.873968165684024429e-03
-2.197543749999999324e-02,3.621439880994873142e-03
-1.887049166666666250e-02,3.410443391051623356e-03
-6.882055555555554455e-03,3.557031873072304118e-03
-8.077604166666666960e-03,3.814853548619013494e-03
-9.423909722222218940e-03,4.096123712924323000e-03
-1.091079861111111070e-02,4.402702105045729584e-03
-1.250802083333333453e-02,4.736345836246620006e-03
-1.415432638888888817e-02,5.098575323506280947e-03
-1.574313194444444675e-02,5.490486842629390025e-03
-1.710463888888888798e-02,5.912499626276049129e-03
-1.798651388888889216e-02,6.364027567641490635e-03
-1.803750694444444108e-02,6.843072147589385548e-03
-1.680295138888888984e-02,7.345746724055073062e-03
-1.374797222222222393e-02,7.865765416299620033e-03
-8.328781250000000247e-03,8.393963803297840517e-03
-1.344843750000000011e-04,8.917961065506263899e-03
1.089286041666666371e-02,9.422114381120465579e-03
2.418727777777778323e-02,9.887936861472636230e-03
3.832680555555554452e-02,1.029512247137540255e-02
5.099222222222223044e-02,1.062322005694512142e-02
5.927840277777777361e-02,1.085382146137100177e-02
6.041104166666667191e-02,1.097291747306355578e-02
5.269048611111108033e-02,1.097291747306355578e-02
3.626684027777777458e-02,1.085382146137100177e-02
1.331255277777777975e-02,1.062322005694512142e-02
-1.255975972222222146e-02,1.029512247137540255e-02
-3.738561805555556256e-02,9.887936861472634495e-03
-5.793479166666667263e-02,9.422114381120465579e-03
-7.235694444444445983e-02,8.917961065506265633e-03
-8.025645833333332202e-02,8.393963803297840517e-03
-8.234395833333336967e-02,7.865765416299620033e-03
-7.992833333333332346e-02,7.345746724055073062e-03
-7.446798611111110633e-02,6.843072147589384681e-03
-6.727416666666666267e-02,6.364027567641488900e-03
-5.937249999999999472e-02,5.912499626276049997e-03
-5.148076388888887800e-02,5.490486842629390025e-03
-4.404722222222221678e-02,5.098575323506280947e-03
-3.731409722222222419e-02,4.736345836246619138e-03
-3.137937500000001489e-02,4.402702105045730452e-03
-2.624847916666665781e-02,4.096123712924322133e-03
-2.187407638888888561e-02,3.814853548619013927e-03
-1.851149166666666429e-02,3.581413485754910992e-03
-6.666722222222222320e-03,3.729488658409784146e-03
-7.989340277777777499e-03,4.013916032314863644e-03
-9.525597222222220023e-03,4.326508573458301421e-03
-1.128540972222222098e-02,4.669989553750863130e-03
-1.326190972222221834e-02,5.047108985270823932e-03
-1.541914583333333331e-02,5.460505864392090937e-03
-1.767393750000000041e-02,5.912499626276050864e-03
-1.987075694444444263e-02,6.404788078716560848e-03
-2.174970138888888960e-02,6.938027696585143123e-03
-2.291105555555554910e-02,7.511275885722419436e-03
-2.278503472222221868e-02,8.121288330025561511e-03
-2.062718055555555485e-02,8.761694058258450574e-03
-1.557286805555555681e-02,9.422122754918152085e-03
-6.796092291666666618e-03,1.008743548011304357e-02
6.184259444444445766e-03,1.073730222496017093e-02
2.305472222222221951e-02,1.134644733114296804e-02
4.222104166666666020e-02,1.188589042501389179e-02
6.054236111111109542e-02,1.232537689223646080e-02
7.363555555555553744e-02,1.263687889451653792e-02
7.696777777777780161e-02,1.279860956359041117e-02
6.752194444444445387e-02,1.279860956359041117e-02
4.528729166666665279e-02,1.263687889451653966e-02
1.366862916666666643e-02,1.232537689223646427e-02
-2.156524166666666520e-02,1.188589042501389179e-02
-5.427027777777777839e-02,1.134644733114296630e-02
-7.980715277777776506e-02,1.073730222496016920e-02
-9.597944444444442280e-02,1.008743548011304010e-02
-1.029034027777777499e-01,9.422122754918152085e-03
-1.022189583333333596e-01,8.761694058258452308e-03
-9.618173611111112409e-02,8.121288330025563246e-03
-8.698319444444448101e-02,7.511275885722419436e-03
-7.638895833333335383e-02,6.938027696585142255e-03
-6.564166666666666761e-02,6.404788078716560848e-03
-5.550750000000000128e-02,5.912499626276049997e-03
-4.639020833333333538e-02,5.460505864392090937e-03
-3.844402777777777835e-02,5.047108985270823932e-03
-3.166902777777778205e-02,4.669989553750862263e-03
-2.598106249999999548e-02,4.326508573458301421e-03
-2.125634027777777157e-02,4.013916032314863644e-03
-1.770385000000000361e-02,3.756266686171535248e-03
-6.206027777777777324e-03,3.904217396235270046e-03
-7.614249999999999491e-03,4.217037989381481125e-03
-9.298854166666667073e-03,4.563433297334409250e-03
-1.129474305555555787e-02,4.947231743197310835e-03
-1.362715972222222106e-02,5.372495834734904163e-03
-1.629918055555554593e-02,5.843401040523341430e-03
-1.927135416666666407e-02,6.364027567641490635e-03
-2.243072916666666652e-02,6.938027696585144857e-03
-2.554534722222222623e-02,7.568122653661624004e-03
-2.820512500000000450e-02,8.255378334803574469e-03
