Stress,Ref
-5.131784722222222477e-03,2.769060835683605920e-03
-5.420819444444444253e-03,2.914319561326169858e-03
-5.638388888888888097e-03,3.066231194379274820e-03
-5.749347222222220798e-03,3.224420291084508471e-03
-5.710618055555555586e-03,3.388299827631888802e-03
-5.471645833333333570e-03,3.557031873072303250e-03
-4.975687500000000076e-03,3.729488658409785447e-03
-4.162722222222223038e-03,3.904217396235270046e-03
-2.975449305555556354e-03,4.079413364176313721e-03
-1.367337986111111106e-03,4.252906854343731051e-03
6.859285416666666352e-04,4.422170351365401625e-03
3.172354861111109561e-03,4.584352388396869225e-03
6.028722222222221774e-03,4.736343558303693704e-03
9.127666666666665873e-03,4.874877797272987763e-03
1.227048611111111395e-02,4.996668182387001451e-03
1.519104861111111697e-02,5.098571325564805676e-03
1.757441666666666874e-02,5.177768707468450270e-03
1.909198611111110819e-02,5.231948130431087092e-03
1.944955555555555674e-02,5.259465267507464591e-03
1.844081944444444718e-02,5.264543130659416446e-03
1.599354166666666632e-02,5.264543130659416446e-03
1.219579861111111212e-02,5.259465267507464591e-03
7.293249999999999386e-03,5.231948130431087092e-03
1.656165472222222070e-03,5.177768707468450270e-03
-4.276569444444443951e-03,5.098571325564805676e-03
-1.006256944444444343e-02,4.996668182387000584e-03
-1.531559722222222003e-02,4.874877797272988630e-03
-1.974750694444444427e-02,4.736343558303692837e-03
-2.318727083333332883e-02,4.584352388396870093e-03
-2.557792361111111204e-02,4.422170351365401625e-03
-2.695840972222221868e-02,4.252906854343731051e-03
-2.743569444444444311e-02,4.079413364176312853e-03
-2.715798611111111538e-02,3.904217396235270480e-03
-2.628785416666666944e-02,3.729488658409785447e-03
-2.498516666666666941e-02,3.557031873072304118e-03
-2.339281944444444872e-02,3.388299827631889236e-03
-2.163295833333333390e-02,3.224420291084508037e-03
-1.980269444444444568e-02,3.066231194379273519e-03
-1.797586111111110913e-02,2.914319561326170725e-03
-1.637728333333332911e-02,2.783154675104245433e-03
-5.611861111111111737e-03,2.922837655852199984e-03
-6.028388888888887819e-03,3.085150793893393344e-03
-6.389374999999999222e-03,3.255915664213661787e-03
-6.656652777777777828e-03,3.434853159664376203e-03
-6.781312500000002616e-03,3.621439880994870974e-03
-6.703166666666667169e-03,3.814853548619013927e-03
